userName,score,at,content
Fina Lestary,1,2025-11-24 04:50:49,"ini situs online di hapus aja kalo masih ribet dan harus ke KPP. ga terlalu membantu, kebanyakan errornya. mana verifikasi pake pulsa segala, iya kalo ga ngulang, ini ngulang dan ujung-ujungnya harus ke KPP."
Filigon Wisnumurti,1,2025-11-24 03:34:01,dari jawaban petugasnya tidak jelas dan tegas
Jamal Dentis,5,2025-11-24 01:43:01,ok
Rafi Al-Rizki,1,2025-11-23 17:48:55,"Aplikasi ga guna, ga bisa login"
Ailin Tan,1,2025-11-23 17:39:39,apasi login ulang mulu aneh banget apk nya
Noobiez28,1,2025-11-23 17:01:39,"pengajuan efin disuruh pake nomor npwp 15 digit, udah tau sekarang pake 16 digit, boomer kocak ga bisa bikin aplikasi😹🤏🏻"
Muhammad Ikbal (Ikbal Dono),1,2025-11-23 02:33:14,"APLIKASI dan WEBSITENYA SAMPAH !!! Dua duanya ga berguna, ga bisa login. Mau login aja password salah melulu, padahal udah diisi dengan BENAR. Lupa password juga ga bisa, malah ribet ga jelas."
Dur salim,2,2025-11-23 01:59:26,Saya sudah mengitim kode npwp yamg dikirim lewat email tetapi belum dapat balasan dari pihak email djp Tolong di proses admin jangan mempersulit saya
Udin Muainudin,5,2025-11-22 13:42:37,sangat membantu..
Bagas Rivaldi,1,2025-11-22 01:48:05,"Udaa mah daftar di website dipersulit ehh pas mau masuk apk gabisa, kenapa sih mo website/apk pemerintah tuh bermasalah Mulu."
ahmadiarmandsyah,1,2025-11-21 22:29:39,angel login.e
Abdul Ghofur,1,2025-11-21 05:18:53,"kalo memang aplikasi ini sudah tidak digunakan lagi, hapuslah dari PlayStore dari pada banyak yang kena prank"
Sidik,2,2025-11-20 15:54:40,"mau bayar pajak pun seribet ini, hahaha.."
Risky Pebriandi,1,2025-11-20 12:10:17,mau cek kode EFIN harus masukin no NPWP.. tapi yang bisa di masukin cuma 15 digit sedangkan no NPWP saya 16 digit.. gimana caranya tu biar bisa masukin 16 digit angka
Hairul mei,1,2025-11-20 02:15:49,aplikasi error
Khoirul Humam,1,2025-11-20 01:39:20,apk gk jelas
Ganjar Mukti Wibowo,1,2025-11-19 18:19:49,Aplikasi sampah Mau login aja error terus
Rasté Staré,1,2025-11-19 17:18:44,lol apk
Depan Rumah,1,2025-11-19 12:47:02,aplikasi dan website busuk. apa apa harus ke kantor pajak. ga guna install aplikasi ini
Denta Prayoga,1,2025-11-19 05:16:20,"Aplikasi Paling Buruk, padahal ini punya pemerintah, bikin npwp aja di persulit padahal untuk bayar pajak, parah bangettt kacauuuuuu!!!!!!!!!!!!!!"
Riki Irawan,1,2025-11-17 23:49:54,map nya tidak akurat
saeful wardi,1,2025-11-17 13:32:45,cukup 1 bintang
Abdurrahman Salim,1,2025-11-17 08:05:18,"aplikasi scam, jangan input data apapun"
Fauzi Ardinan,1,2025-11-17 06:21:15,"kocak banget nih apk, gw masuk lewat web bisa, giliran masuk di apk malah gak bisa"
Afni Jaka,1,2025-11-16 16:14:04,aplikasi aneh paling teraneh
Fachrie Haidar prayuda,1,2025-11-14 18:26:02,buruk
ani shopia,1,2025-11-14 06:43:29,aplikasi sangat buruk Uda benar data tetap eror Gilak ini aplikasi
AYO_KE_ LOMBOK,1,2025-11-14 03:04:51,app nya ribet banget
Raymond LTE,1,2025-11-14 02:16:29,ini cara login karena lupa pasword gmn? apk intansi pemerintahan negeri ini knp jelek2 ya??? jangan apa2 dikorupsi mulu napa sih?
kadiman,5,2025-11-14 01:56:06,okee..
Lenny Puspitasari,1,2025-11-13 20:24:07,"aplikasi susah digunakan, chatnya kalau bisa MANUSIA BUKAN CHATBOT ga guna bgt aplikasinya sama sekali tidak mempermudah!!!"
Kodrat Rejafi,1,2025-11-13 19:57:59,aplikasi tolol
Oce Oce,1,2025-11-13 18:19:51,cacat
Jumriah,1,2025-11-13 15:56:13,perbagus lagi dh apkny
mechmed abdurrozie,1,2025-11-13 11:41:32,mending buat beli nasi goreng buget aplikasinya
PULAWANG HATURESI,5,2025-11-13 10:22:20,sangat membantu
m khotibul umam,1,2025-11-13 03:29:21,minus apk pemerintah cuihh
WAWAN GUNAWAN,5,2025-11-13 03:08:18,sangat membantu sekali
Eca Pranciska br bangun,1,2025-11-13 02:09:34,sangat buruk
Budiman,1,2025-11-12 12:53:08,wawasan
Tuhirman ST,1,2025-11-12 08:05:44,Tidak bisa digunakan
Mochamad Solly,4,2025-11-12 06:37:17,"bintang 4 dulu,nanti klo udah bisa baru bintang 5"
Rendi Gunawan,1,2025-11-12 06:08:33,"M-PAJAK aplikasi gak guna untuk masyarakat Login sangat rumit.. selalu error sudah berbagai cara... seperti hapus data cache apk/uninstall tetap tidak bisa masuk.. solusi buat kalian lebih baik ke kantor pajak nya langsung! jika ada email tentang akun M-pajak gak usah peduli ujung""nya gak bisa masuk seperti sya.. buat pengembang aplikasi tolong login trus eror penampilan kurang elegan."
Maryono Yono,5,2025-11-11 15:57:37,bagus
Anissa Sintiawati Hapsah,1,2025-11-11 13:34:34,Jangan install aplikasi scam
Abdul Hadi,1,2025-11-11 11:30:33,susah masuk dan daftarnya.
Ahmad Fauzan,1,2025-11-11 06:53:24,"ga jelas banget aplikasinya ga guna ,bikin orang kesel tolong di evaluasi lagi gunanya uang pajak apa?kalau kebutuhan rakyat aja masih kaya begini sistemnya ngaco sekali,mau ga mau harus datang ke kantor pajaknya hadeh bobrok sistem online nya"
Rokhimin Roy,1,2025-11-10 14:27:49,kita mau jadi rakyat yang taat bayar pajak tapi mau daftar online susahnya minta ampun muter2 gak selwsau selsai ada saja yang menyebut gagal apa lagi aplikasi ini harusnya ada link kusus bagi pengguna baru untul melakukan pendaftaran
Bariatus Siti,2,2025-11-10 11:48:59,fitur lupa password mana. mau login lupa password
Fandi Jnr,1,2025-11-10 10:48:31,"aplikasi kaga guna!!!. niat bikin aplikasi g sih??? susah amat buat login, username sama password ny udh bener tp masih aj salah. di website dan di aplikasi sama² aj GA BERGUNA bukannya mempermudah malah sebaliknya."
Wiku Dewa hastu,1,2025-11-10 08:21:01,aplikasi tak berguna masa tidak ada. menu pelaporan spt
Dino Erbabley,1,2025-11-10 07:37:07,"Aplikasi AMPAS, orang wajib download dipaksa pake aplikasi broken ga ada guna"
Hp Gratis,1,2025-11-10 06:18:14,kenapa orang pajak atau yang kerja di pajak makan gaji buta mau bikin NPWP aja Susah karena aplikasi nya sangat busuk
Yasa 21,1,2025-11-09 06:24:01,aplikasi ga guna
Ulul Hanafi,1,2025-11-08 15:07:30,apk gak guna
Bang Kotan,1,2025-11-08 10:15:10,"aplikasi apaan, bikin efin susah sekali!!!! sudah benar nomer hp tapi notivikasi kode otp di SMS!!! padahal data lengkap!"
didinx u2,1,2025-11-08 05:34:31,"aplikasi maksa minta update, setelah update malah ga bisa login. error terus"
Dwiki Prasetyo,1,2025-11-07 03:58:56,sulit banget mau buka akun massa saya harus jauh-jauh ke Surabaya padahal di gresik ada tetapi dalam aplikasi tidak tercantum cabangnya.
Dom Shampoo,1,2025-11-07 00:45:33,tidak fungsi karena tidak ada layanan online seperti live chat
Setu 30,1,2025-11-06 13:55:27,sangat buruk sekali
orlando dumais,1,2025-11-06 13:01:47,"Masih terlalu ribet , aplikasi belum siap di gunakan .. perlu perbaikan lagi terutama jangan terlalu ribet .. fokus saja ke penggunaan yang mudah , tapi aman dan nyaman.."
Rohmad Andy Warhol,1,2025-11-06 12:05:34,Tolong Kasih Kemudahan akses untuk Rakyat. katanya suruh taat Pajak
kvnrhdn_ -,1,2025-11-06 09:30:13,ngapain bayar pajak?
Satria S Dg Situju,5,2025-11-05 17:46:18,oke mbaik 👍👍👍👍👍
Moci Moca,1,2025-11-05 16:39:22,"kalo belum siap lewat online jgn buat aplikasi, nomor npwp yg benar yg mana ada yg 15 digit malah yg baru sekarang 16 digit sesuai nik KTP untuk ngurus pajak aja dibuat ribet hadehhhh.. konoha"
Bayu Agustiana,1,2025-11-05 10:39:14,yang bener kalau bikin aplikasi
hari muhammad,1,2025-11-05 08:27:46,"login dapat exception session berakhir chat cs, buttonya gak bisa ditrigger wkwkw"
